"OID_";"UIDENTSTLAE";"ULAND";"UREGBEZ";"UKREIS";"UGEMEINDE";"UJAHR";"UMONAT";"USTUNDE";"UWOCHENTAG";"UKATEGORIE";"UART";"UTYP1";"ULICHTVERH";"IstStrassenzustand";"IstRad";"IstPKW";"IstFuss";"IstKrad";"IstGkfz";"IstSonstige";"LINREFX";"LINREFY";"XGCSWGS84";"YGCSWGS84";"PLST"
203174;8,23E+018;8;2;12;0;2023;3;14;5;3;1;5;0;1;1;1;0;0;0;0;456214.575;5425963.539;8.40154632700006;48.9850242160001;1
203744;8,23E+018;8;2;12;0;2023;3;15;5;3;0;2;0;0;1;1;0;0;0;0;458947.561;5428906.74;8.43860103400004;49.011686567;1
203743;8,23E+018;8;2;12;0;2023;3;17;5;3;6;7;0;0;1;0;1;0;0;0;456325.1176;5428627.2517;8.40277073300007;49.0089924910001;1
203355;8,23E+018;8;2;12;0;2023;3;7;6;3;5;3;0;0;1;1;0;0;0;0;453774.6628;5428564.6281;8.36790400100006;49.00824341;1
204986;8,23E+018;8;2;12;0;2023;3;14;6;3;0;6;0;0;1;1;0;0;0;0;457407.0695;5428640.3372;8.41756362900003;49.009185824;1
203325;8,23E+018;8;2;12;0;2023;3;17;7;2;5;2;0;0;1;0;0;0;0;1;459042.1464;5428955.6552;8.43988950500005;49.012132853;1
203536;8,23E+018;8;2;12;0;2023;3;17;7;3;5;3;0;0;1;1;0;0;0;0;455141.1466;5430589.04;8.38636467200007;49.0265539870001;1
205191;8,23E+018;8;2;12;0;2023;3;18;7;3;4;6;0;0;1;0;0;0;0;0;456060.8936;5428551.3441;8.39916604300004;49.008290937;1
84463;8,23E+018;8;2;12;0;2023;3;19;7;3;5;3;2;0;1;1;0;0;0;0;453031.362;5428872.1006;8.35770502100007;49.010953011;1
203692;8,23E+018;8;2;12;0;2023;3;22;7;3;5;3;2;0;1;1;0;0;0;0;455463.5582;5426658.667;8.39120595200006;48.991223281;1
87975;8,23E+018;8;2;12;0;2023;4;18;1;3;0;7;0;0;1;0;0;0;0;0;463695.9637;5424163.9975;8.50395722900004;48.9693218580001;1
204326;8,23E+018;8;2;12;0;2023;4;20;1;3;5;3;2;1;1;1;0;0;0;0;455040.072;5429892.7589;8.38505930600007;49.0202835360001;1
204541;8,23E+018;8;2;12;0;2023;4;7;2;3;5;3;0;0;1;1;0;0;0;0;455669.7833;5427727.5313;8.39390815700006;49.0008526820001;1
204540;8,23E+018;8;2;12;0;2023;4;9;2;2;5;3;0;1;1;0;0;0;0;0;460756.0589;5427222.2583;8.46349418200003;48.9966519650001;1
204912;8,23E+018;8;2;12;0;2023;4;13;2;3;5;3;0;0;1;1;0;0;0;0;453583.8728;5427973.8942;8.36536279300003;49.0029154050001;1
204300;8,23E+018;8;2;12;0;2023;4;16;2;3;4;6;0;1;1;1;0;0;0;0;456298.3521;5428780.5212;8.40238825100005;49.0103692720001;1
204301;8,23E+018;8;2;12;0;2023;4;17;2;2;0;1;0;1;1;0;0;0;0;0;460916.5109;5427571.6997;8.46565400600002;48.9998054480001;1
204539;8,23E+018;8;2;12;0;2023;4;17;2;2;8;7;0;1;1;0;0;0;0;0;461206.7418;5427507.1135;8.46962800700004;48.9992427880001;1
265628;8,23E+018;8;2;12;0;2023;4;17;2;3;3;6;0;0;1;0;0;0;0;0;456672.553836996;5432083.26735028;8.40715227900006;49.040104177;2
265638;8,23E+018;8;2;12;0;2023;4;18;2;2;5;3;0;0;1;0;0;0;0;0;458925.161585865;5430418.34235179;8.43814170700006;49.025282174;2
204910;8,23E+018;8;2;12;0;2023;4;19;2;3;5;3;0;0;1;1;0;0;0;0;455737.4302;5428258.5337;8.39477510700004;49.0056339610001;1
